machine_id,duree_connexion,nombre_requetes,volume_donnees,statut_connexion,intensite_connexion,os_type_Android,os_type_Linux,os_type_MacOS,os_type_Windows
M1381,124.8417128228712,80,464.2093000955391,success,37136.74400764313,False,True,False,False
M996,203.3992427226081,212,696.5908744299338,success,147677.26537914597,False,True,False,False
M1411,71.0995026862237,213,430.46209900987606,success,91688.4270891036,False,False,True,False
M1448,150.11807917682245,216,341.4917270387713,fail,73762.2130403746,False,False,False,True
M1448,182.8370345969048,79,259.87376829481747,success,20530.02769529058,True,False,False,False
M167,143.47998244995398,224,289.311324589568,success,64805.73670806324,True,False,False,False
M127,113.24245193193217,198,312.9535574823745,fail,61964.80438151015,False,False,False,True
M1247,110.82015994819216,168,679.2860730798614,success,114120.0602774167,True,False,False,False
M1338,145.6613086503058,234,424.5172344209975,success,99337.03285451341,False,False,False,True
M162,156.6101952662626,258,601.2618172886779,fail,155125.54886047888,False,False,True,False
M1279,162.46896358223358,280,492.6084171444241,success,137930.35680043875,False,False,False,True
M1005,165.25916798195678,116,694.7183574594776,fail,80587.32946529941,False,False,True,False
M275,160.6692250898414,90,576.8091421922279,fail,51912.82279730051,True,False,False,False
M398,147.5158849606701,168,464.76063067894336,fail,78079.78595406248,False,False,False,True
M1127,174.38769821485647,198,514.1090316715156,fail,101793.58827096008,True,False,False,False
M346,120.77569230733022,181,714.2885338552924,success,129286.22462780793,False,True,False,False
M1470,96.67817757175146,139,452.8366083342265,fail,62944.28855845749,False,True,False,False
M1047,77.87823441714164,138,602.0253386775805,success,83079.49673750611,False,True,False,False
M1377,88.95111888272896,142,356.11271221368827,fail,50568.00513434374,False,True,False,False
M200,103.0094152872334,241,497.1549194747965,success,119814.33559342596,False,True,False,False
M293,81.9039163758711,260,502.6386324111241,fail,130686.04442689226,True,False,False,False
M1199,65.91182204163624,213,519.1819120259672,fail,110585.74726153103,False,False,False,True
M1250,137.81277543905247,152,564.9375440100988,fail,85870.50668953502,False,True,False,False
M1171,129.17317766009091,145,197.20377787546693,fail,28594.547791942703,True,False,False,False
M1408,120.77569230733022,215,476.3341419426327,success,102411.84051766603,False,False,True,False
